text,bart_predicted_topic,roberta_predicted_topic,true_topic
прозорість зрости але проблема з контроль і локалізація не меншати що відбуватися із державний закупівля пояснювати катерина русіна,спорт,економіка,спорт
канцлер німеччина пояснити свій заява про скасування ліміт для україна на дальність удар по росія,спорт,економіка,спорт
rt 27052025 0815 день грем ми готовий ввести 500 мито на країна що купувати московський енергоносій зробивши з рф остер,спорт,економіка,спорт
rt такий рішення могти суттєво змінити хід війна та посилити тиск на кремль,спорт,економіка,спорт
ангеліна гузик з херсон здобути золото на чемпіонат німеччина з бокс серед жінка до 19 рік у категорія до 54 кг змагання проходити з 20 по 23 травень в вісмар,політика,економіка,політика
татьяна монтян киеву дати зеленый свет скоро бомбы будут лететь с большим размахом подробности,політика,економіка,політика
rt передати зсу mercedes який бути заряджати танок,спорт,економіка,спорт
rt передати зсу mercedes який бути заряджати танок,спорт,економіка,спорт
україна стати учасниця перший у світ юридично зобовязуючої міжнародний конвенція про штучний інтелект крім той країна впроваджувати система huderia для оцінка відповідність технологія ші новий міжнародний стандарт,технології,економіка,технології
в китай відреагувати на заява голова український служба зовнішній розвідка про поставка військовий завод рось,спорт,економіка,спорт
